event_id,machine_id,timestamp,temperature,pressure,vibration,cycle_time,parts_per_hour,machine_status,sensor_quality,plc_payload,quality,actual_failure
18799,M_044,2026-01-01 05:42:00,47.92,60.03,2.18,19.181,265.89,Running,84,0x00,GOOD,False
150180,M_030,2026-01-02 21:31:00,77.54,88.09,4.971,24.018,199.53,Running,81,0x00,GOOD,False
86419,M_014,2026-01-02 02:12:00,51.93,71.49,2.253,35.695,90.86,Running,93,0x00,GOOD,False
46868,M_008,2026-01-01 14:13:00,74.5,74.91,4.753,26.129,199.86,Warning,77,0x00,GOOD,False
165401,M_016,2026-01-03 02:08:00,57.83,76.77,2.604,31.486,124.83,Running,87,0x00,GOOD,False
164732,M_007,2026-01-03 01:56:00,69.54,87.24,4.041,24.691,162.95,Running,80,0x00,BAD,False
87846,M_011,2026-01-02 02:38:00,51.14,55.04,2.999,21.909,242.45,Running,76,0x00,GOOD,False
75918,M_018,2026-01-01 23:01:00,73.51,116.45,4.671,21.474,232.4,Running,89,0x00,GOOD,False
10020,M_010,2026-01-01 03:03:00,57.98,56.26,2.104,,257.31,Running,86,0x00,BAD,False
86482,M_022,2026-01-02 02:13:00,70.6,,3.452,20.489,177.29,Running,86,0x00,GOOD,False
15640,M_020,2026-01-01 04:45:00,80.21,115.7,3.718,20.751,233.55,Running,76,0x00,GOOD,False
73922,M_002,2026-01-01 22:25:00,68.34,79.72,3.013,24.737,202.68,Running,82,0x00,GOOD,False
65810,M_030,2026-01-01 19:57:00,73.99,,6.305,26.572,187.15,Failed,66,0x00,BAD,True
91436,M_026,2026-01-02 03:43:00,67.66,71.54,,32.621,153.93,Running,85,0x00,GOOD,False
135345,M_045,2026-01-02 17:01:00,64.91,86.73,2.443,24.319,231.86,Running,94,0x00,GOOD,False
32781,M_001,2026-01-01 09:57:00,72.61,118.23,3.504,20.349,179.63,Running,86,0x00,GOOD,False
1533,M_048,2026-01-01 00:28:00,76.29,119.0,2.991,18.926,266.64,Running,94,0x00,GOOD,False
127792,M_027,2026-01-02 14:44:00,78.13,118.75,3.358,23.534,229.28,Running,77,0x00,GOOD,False
84166,M_016,2026-01-02 01:31:00,69.91,74.77,4.846,33.442,156.72,Running,80,0x00,GOOD,False
154007,M_007,2026-01-02 22:41:00,70.43,85.15,,23.954,196.46,Running,89,0x00,GOOD,False
43753,M_028,2026-01-01 13:16:00,84.98,112.26,5.536,20.76,262.51,Running,83,0x00,GOOD,False
80810,M_015,2026-01-02 00:30:00,51.07,53.55,1.914,16.259,273.78,Running,90,0x00,GOOD,False
14614,M_039,2026-01-01 04:26:00,54.23,55.24,2.165,18.32,264.2,Running,83,0x00,GOOD,False
42529,M_014,2026-01-01 12:54:00,59.69,70.6,,35.951,154.57,Running,92,0x00,GOOD,False
141966,M_011,2026-01-02 19:02:00,48.39,60.21,2.187,19.465,263.85,Running,82,0x00,GOOD,False
62287,M_027,2026-01-01 18:53:00,73.03,120.64,3.644,20.821,256.6,Running,88,0x00,BAD,False
